id,cover,title,description,published_year,slug
1,static/data/albums/Radiohead - In Rainbows (2007)/folder.jpg,In Rainbows,One of the greatest RH albums,2007,in_rainbows
2,static/data/albums/Radiohead - A Moon Shaped Pool (2016)(FLAC)(CD)/folder.jpg,Moon Shaped Pool,Latest album,2016,moon_shaped_pool
